word,meaning,description
Phony,"가짜의, 허위의","Phony... Phony... 이 표현은 형용사로 '가짜의' 또는 '허위의'라는 뜻입니다. 이 단어는 19세기 영국에서 사기꾼들이 쓰던 금색 도금 반지를 'fawney'라고 부른 데서 유래했다는 설이 유력해요. 겉만 번지르르하고 속은 가짜라는 느낌이죠! 영화에서는 ""We've become bored with watching actors give us phony emotions."" 이 문장은 ""우리는 배우들이 가짜 감정을 연기하는 것을 보는 데 지쳤습니다.""라는 뜻입니다. Phony, 가짜의."
Pyrotechnics,"불꽃놀이, 화려한 기교","Pyrotechnics... Pyrotechnics... 이 표현은 명사로 '불꽃놀이' 또는 '화려한 기교'라는 뜻입니다. 불을 뜻하는 그리스어 'pyro-'와 기술을 뜻하는 'technics'가 합쳐졌어요. 말 그대로 '불을 다루는 기술'이죠! 영화에서는 ""We're tired of pyrotechnics and special effects."" 이 문장은 ""폭죽놀이나 특수 효과도 이제 지겹죠.""라는 뜻입니다. Pyrotechnics, 불꽃놀이/화려한 기교."
Counterfeit,"위조의, 모조품","Counterfeit... Counterfeit... 이 표현은 형용사로 '위조의', 명사로 '모조품'이라는 뜻입니다. '~에 대항하여'라는 'counter-'와 '만들다'라는 뜻의 라틴어 'facere(feit)'가 만났어요. 진짜에 맞서서 가짜를 만들어냈다는 뜻이죠. 영화에서는 ""While the world he inhabits is, in some respects, counterfeit..."" 이 문장은 ""그가 사는 세상은 어떤 면에서는 가짜일지 모르지만...""이라는 뜻입니다. Counterfeit, 위조의."
Genuine,"진짜의, 진실한","Genuine... Genuine... 이 표현은 형용사로 '진짜의' 또는 '진실한'이라는 뜻입니다. '낳다, 발생시키다'라는 어근 'gen-'에서 왔어요. 태어난 그대로의 순수한 상태를 의미하죠. 영화에서는 ""It isn't always Shakespeare, but it's genuine."" 이 문장은 ""항상 셰익스피어 같은 명작은 아니지만, 진실하죠.""라는 뜻입니다. Genuine, 진짜의."
Inhabit,"거주하다, 살다","Inhabit... Inhabit... 이 표현은 동사로 '거주하다' 또는 '살다'라는 뜻입니다. '~안에'를 뜻하는 'in-'과 '가지다, 머물다'라는 라틴어 'habitare'가 합쳐졌어요. 어떤 장소 안에 계속 머물며 산다는 뜻이죠. 영화에서는 ""While the world he inhabits is... counterfeit..."" 이 문장은 ""그가 사는 세상은... 가짜일지 모르지만...""이라는 뜻입니다. Inhabit, 거주하다."
Summit,"정상, 꼭대기","Summit... Summit... 이 표현은 명사로 '정상' 또는 '꼭대기'라는 뜻입니다. '가장 높은'을 뜻하는 라틴어 'summus'에서 유래했어요. 수학에서 합계를 뜻하는 'sum'도 같은 뿌리랍니다! 영화에서는 ""If I die before I reach the summit..."" 이 문장은 ""내가 정상에 오르기 전에 죽으면...""이라는 뜻입니다. Summit, 정상."
Peril,위험,"Peril... Peril... 이 표현은 명사로 '위험'이라는 뜻입니다. '시도하다'라는 뜻의 라틴어 'periculum'에서 왔는데, 무언가를 시도할 때는 늘 위험이 따른다는 철학이 담겨 있죠. 영화에서는 ""Forget about the perils of flying..."" 이 문장은 ""비행의 위험 같은 건 잊고...""라는 뜻입니다. Peril, 위험."
Prospect,"가망 고객, 전망","Prospect... Prospect... 이 표현은 명사로 '가망 고객' 혹은 '전망'이라는 뜻입니다. '앞으로'를 뜻하는 'pro-'와 '보다'라는 뜻의 'spect'가 합쳐졌어요. 앞을 내다보고 찾는 대상이죠. 영화에서는 ""Got a prospect in Wells Park need you to close."" 이 문장은 ""웰스 파크에 가망 고객이 있는데 자네가 가서 계약 좀 따내.""라는 뜻입니다. Prospect, 가망 고객."
Quota,"할당량, 실적","Quota... Quota... 이 표현은 명사로 '할당량' 혹은 '정해진 몫'이라는 뜻입니다. 라틴어로 '얼마나 많은가'를 묻는 'quota pars'에서 유래했어요. 네 몫이 얼마나 되느냐는 질문이죠! 영화에서는 ""If you don't meet your quota."" 이 문장은 ""할당량을 못 채우면.""이라는 뜻입니다. Quota, 할당량."
Cutback,"인원 감축, 축소","Cutback... Cutback... 이 표현은 명사로 '인원 감축' 또는 '축소'라는 뜻입니다. '자르다(cut)'와 '뒤로(back)'가 만나서, 규모를 뒤로 돌려 줄인다는 직관적인 단어예요. 영화에서는 ""They're making cutbacks at the end of this month."" 이 문장은 ""이번 달 말에 인원 감축이 있을 거야.""라는 뜻입니다. Cutback, 인원 감축."
